Key,Chinese (Traditional)(zh-TW)
敵人名字.破舊紙箱,破舊紙箱
敵人名字.流浪鼠妖,流浪鼠妖
敵人名字.搶食烏鴉,搶食烏鴉
敵人名字.惡犬幽靈,惡犬幽靈
敵人名字.腐爛泥怪,腐爛泥怪
敵人名字.被詛咒的掃帚,被詛咒的掃帚
敵人名字.黑巷之王-獨眼狸貓,黑巷之王-獨眼狸貓
敵人名字.跳跳蘑菇精,跳跳蘑菇精
敵人名字.偷魚精靈,偷魚精靈
敵人名字.變色葉影獸,變色葉影獸
敵人名字.惡意藤蔓,惡意藤蔓
敵人名字.鬼火飛蛾,鬼火飛蛾
敵人名字.幻影鹿靈-銀角之森王,幻影鹿靈-銀角之森王
敵人名字.泡泡水精,泡泡水精
敵人名字.戲水魚妖,戲水魚妖
敵人名字.偽裝水草妖,偽裝水草妖
敵人名字.迷途水鬼,迷途水鬼
敵人名字.水龍幼崽,水龍幼崽
敵人名字.沉眠的湖王-深淵九頭蛇,沉眠的湖王-深淵九頭蛇
敵人名字.沙塵蠍怪,沙塵蠍怪
敵人名字.活化石像,活化石像
敵人名字.詛咒木乃伊貓,詛咒木乃伊貓
敵人名字.沙影幻狼,沙影幻狼
敵人名字.狂風元素,狂風元素
敵人名字.沙暴之王-千年金字塔魔神,沙暴之王-千年金字塔魔神
敵人名字.失控魔法書,失控魔法書
敵人名字.暴走元素精靈,暴走元素精靈
敵人名字.魔法毒史萊姆,魔法毒史萊姆
敵人名字.詛咒黑貓人,詛咒黑貓人
敵人名字.被詛咒的鏡像,被詛咒的鏡像
敵人名字.墮落大法師-黑焰之貓,墮落大法師-黑焰之貓
敵人名字.迷失的貓魂,迷失的貓魂
敵人名字.詭異人偶,詭異人偶
敵人名字.亡靈旅人,亡靈旅人
敵人名字.詭笑街燈,詭笑街燈
敵人名字.無臉幽影,無臉幽影
敵人名字.詭異旅館主人-沉默之影,詭異旅館主人-沉默之影
敵人名字.岩石魔像,岩石魔像
敵人名字.地縛鬼魂,地縛鬼魂
敵人名字.洞穴猛獸,洞穴猛獸
敵人名字.幽冥守衛,幽冥守衛
敵人名字.深淵蜥蜴王,深淵蜥蜴王
敵人名字.永恆看守者-鎖鏈魔王,永恆看守者-鎖鏈魔王
敵人名字.天翼獵鷹,天翼獵鷹
敵人名字.雲霧元素,雲霧元素
敵人名字.雷擊飛龍,雷擊飛龍
敵人名字.風之魔像,風之魔像
敵人名字.天空戰士靈魂,天空戰士靈魂
敵人名字.天空王座-風暴泰坦,天空王座-風暴泰坦
敵人名字.熔岩巨魔,熔岩巨魔
敵人名字.燃燒劍靈,燃燒劍靈
敵人名字.火焰犬魔,火焰犬魔
敵人名字.火焰惡魔,火焰惡魔
敵人名字.熔岩飛龍,熔岩飛龍
敵人名字.地獄熔王-深紅魔龍,地獄熔王-深紅魔龍
敵人名字.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1
敵人名字.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1
敵人名字.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2
敵人名字.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2
敵人名字.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3
敵人名字.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3
敵人說明.破舊紙箱,破舊紙箱的說明
敵人說明.流浪鼠妖,流浪鼠妖的說明
敵人說明.搶食烏鴉,搶食烏鴉的說明
敵人說明.惡犬幽靈,惡犬幽靈的說明
敵人說明.腐爛泥怪,腐爛泥怪的說明
敵人說明.被詛咒的掃帚,被詛咒的掃帚的說明
