Key,Chinese (Traditional)(zh-TW)
敵人名字.破舊紙箱,破舊紙箱
破舊紙箱.Talk01,每次擊倒新的敵人，你都會變得更強大！
破舊紙箱.Talk02,擊倒我後，就可以挑戰下一個敵人…
破舊紙箱.Talk03,擊倒我後，開啟蕃茄鐘模式
敵人名字.流浪鼠妖,流浪鼠妖
流浪鼠妖.Talk01,我上次在街道排徊時，好像有看到「卡片」？
流浪鼠妖.Talk02,為什麼我看不到你，但你的一舉一動都會造成我的傷害？
流浪鼠妖.Talk03,每安排在第一區的我，看來只是個教學怪…
流浪鼠妖.Talk04,蕃茄鐘模式？開啟後似乎不會對我們造成傷害，嘿嘿嘿。
流浪鼠妖.Talk05,什麼？你說蕃茄鐘模式結束後，會對我造成大傷害？
流浪鼠妖.Talk06,我甚至不知道你長什麼樣子，你就一直打我！
流浪鼠妖.Talk07,…生為鼠輩的我，可是不相信鬼！
流浪鼠妖.Talk08,什…？你說你打贏了搶食烏鴉？那傢伙總是搶我東西…活該！
流浪鼠妖.Talk09,這條街上有一隻獨眼魔王，遇到他你就完了！
流浪鼠妖.Talk10,你打贏獨眼魔王了？怎麼可能！？
敵人名字.搶食烏鴉,搶食烏鴉
敵人名字.惡犬幽靈,惡犬幽靈
敵人名字.腐爛泥怪,腐爛泥怪
敵人名字.被詛咒的掃帚,被詛咒的掃帚
敵人名字.黑巷之王-獨眼狸貓,黑巷之王-獨眼狸貓
敵人名字.跳跳蘑菇精,跳跳蘑菇精
敵人名字.偷魚精靈,偷魚精靈
敵人名字.變色葉影獸,變色葉影獸
敵人名字.惡意藤蔓,惡意藤蔓
敵人名字.鬼火飛蛾,鬼火飛蛾
敵人名字.幻影鹿靈-銀角之森王,幻影鹿靈-銀角之森王
敵人名字.泡泡水精,泡泡水精
敵人名字.戲水魚妖,戲水魚妖
敵人名字.偽裝水草妖,偽裝水草妖
敵人名字.迷途水鬼,迷途水鬼
敵人名字.水龍幼崽,水龍幼崽
敵人名字.沉眠的湖王-深淵九頭蛇,沉眠的湖王-深淵九頭蛇
敵人名字.沙塵蠍怪,沙塵蠍怪
敵人名字.活化石像,活化石像
敵人名字.詛咒木乃伊貓,詛咒木乃伊貓
敵人名字.沙影幻狼,沙影幻狼
敵人名字.狂風元素,狂風元素
敵人名字.沙暴之王-千年金字塔魔神,沙暴之王-千年金字塔魔神
敵人名字.失控魔法書,失控魔法書
敵人名字.暴走元素精靈,暴走元素精靈
敵人名字.魔法毒史萊姆,魔法毒史萊姆
敵人名字.詛咒黑貓人,詛咒黑貓人
敵人名字.被詛咒的鏡像,被詛咒的鏡像
敵人名字.墮落大法師-黑焰之貓,墮落大法師-黑焰之貓
敵人名字.迷失的貓魂,迷失的貓魂
敵人名字.詭異人偶,詭異人偶
敵人名字.亡靈旅人,亡靈旅人
敵人名字.詭笑街燈,詭笑街燈
敵人名字.無臉幽影,無臉幽影
敵人名字.詭異旅館主人-沉默之影,詭異旅館主人-沉默之影
敵人名字.岩石魔像,岩石魔像
敵人名字.地縛鬼魂,地縛鬼魂
敵人名字.洞穴猛獸,洞穴猛獸
敵人名字.幽冥守衛,幽冥守衛
敵人名字.深淵蜥蜴王,深淵蜥蜴王
敵人名字.永恆看守者-鎖鏈魔王,永恆看守者-鎖鏈魔王
敵人名字.天翼獵鷹,天翼獵鷹
敵人名字.雲霧元素,雲霧元素
敵人名字.雷擊飛龍,雷擊飛龍
敵人名字.風之魔像,風之魔像
敵人名字.天空戰士靈魂,天空戰士靈魂
敵人名字.天空王座-風暴泰坦,天空王座-風暴泰坦
敵人名字.熔岩巨魔,熔岩巨魔
敵人名字.燃燒劍靈,燃燒劍靈
敵人名字.火焰犬魔,火焰犬魔
敵人名字.火焰惡魔,火焰惡魔
敵人名字.熔岩飛龍,熔岩飛龍
敵人名字.地獄熔王-深紅魔龍,地獄熔王-深紅魔龍
敵人名字.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1
敵人名字.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2
敵人名字.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3
敵人說明.破舊紙箱,破舊紙箱的說明
敵人說明.流浪鼠妖,流浪鼠妖的說明
敵人說明.搶食烏鴉,搶食烏鴉的說明
敵人說明.惡犬幽靈,惡犬幽靈的說明
敵人說明.腐爛泥怪,腐爛泥怪的說明
敵人說明.被詛咒的掃帚,被詛咒的掃帚的說明
敵人說明.黑巷之王-獨眼狸貓,黑巷之王-獨眼狸貓的說明
敵人說明.跳跳蘑菇精,跳跳蘑菇精的說明
敵人說明.偷魚精靈,偷魚精靈的說明
敵人說明.變色葉影獸,變色葉影獸的說明
敵人說明.惡意藤蔓,惡意藤蔓的說明
敵人說明.鬼火飛蛾,鬼火飛蛾的說明
敵人說明.幻影鹿靈-銀角之森王,幻影鹿靈-銀角之森王的說明
敵人說明.泡泡水精,泡泡水精的說明
敵人說明.戲水魚妖,戲水魚妖的說明
敵人說明.偽裝水草妖,偽裝水草妖的說明
敵人說明.迷途水鬼,迷途水鬼的說明
敵人說明.水龍幼崽,水龍幼崽的說明
敵人說明.沉眠的湖王-深淵九頭蛇,沉眠的湖王-深淵九頭蛇的說明
敵人說明.沙塵蠍怪,沙塵蠍怪的說明
敵人說明.活化石像,活化石像的說明
敵人說明.詛咒木乃伊貓,詛咒木乃伊貓的說明
敵人說明.沙影幻狼,沙影幻狼的說明
敵人說明.狂風元素,狂風元素的說明
敵人說明.沙暴之王-千年金字塔魔神,沙暴之王-千年金字塔魔神的說明
敵人說明.失控魔法書,失控魔法書的說明
敵人說明.暴走元素精靈,暴走元素精靈的說明
敵人說明.魔法毒史萊姆,魔法毒史萊姆的說明
敵人說明.詛咒黑貓人,詛咒黑貓人的說明
敵人說明.被詛咒的鏡像,被詛咒的鏡像的說明
敵人說明.墮落大法師-黑焰之貓,墮落大法師-黑焰之貓的說明
敵人說明.迷失的貓魂,迷失的貓魂的說明
敵人說明.詭異人偶,詭異人偶的說明
敵人說明.亡靈旅人,亡靈旅人的說明
敵人說明.詭笑街燈,詭笑街燈的說明
敵人說明.無臉幽影,無臉幽影的說明
敵人說明.詭異旅館主人-沉默之影,詭異旅館主人-沉默之影的說明
敵人說明.岩石魔像,岩石魔像的說明
敵人說明.地縛鬼魂,地縛鬼魂的說明
敵人說明.洞穴猛獸,洞穴猛獸的說明
敵人說明.幽冥守衛,幽冥守衛的說明
敵人說明.深淵蜥蜴王,深淵蜥蜴王的說明
敵人說明.永恆看守者-鎖鏈魔王,永恆看守者-鎖鏈魔王的說明
敵人說明.天翼獵鷹,天翼獵鷹的說明
敵人說明.雲霧元素,雲霧元素的說明
敵人說明.雷擊飛龍,雷擊飛龍的說明
敵人說明.風之魔像,風之魔像的說明
敵人說明.天空戰士靈魂,天空戰士靈魂的說明
敵人說明.天空王座-風暴泰坦,天空王座-風暴泰坦的說明
敵人說明.熔岩巨魔,熔岩巨魔的說明
敵人說明.燃燒劍靈,燃燒劍靈的說明
敵人說明.火焰犬魔,火焰犬魔的說明
敵人說明.火焰惡魔,火焰惡魔的說明
敵人說明.熔岩飛龍,熔岩飛龍的說明
敵人說明.地獄熔王-深紅魔龍,地獄熔王-深紅魔龍的說明
敵人說明.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1的說明
敵人說明.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1的說明
敵人說明.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2的說明
敵人說明.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2的說明
敵人說明.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3的說明
敵人說明.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3的說明
